Year,Catering,Alcoholic drinks (on and off licence),Food and non-alcoholic drink shopping
2005,45.63,37.75,67.62
2006,46.59,38.58,70.03
2007,48.42,40.47,73.01
2008,49.20,41.26,77.67
2009,46.71,40.56,79.72
2010,48.82,42.02,80.96
2011,51.07,44.74,86.66
2012,52.60,46.57,89.23
2013,54.61,49.47,92.03
2014,56.85,50.69,93.33
2015,58.45,52.26,91.37
2016,60.72,53.81,95.24
2017,63.34,56.82,100.54
2018,64.76,59.16,104.38
2019,66.74,60.65,106.53
